,Tarih,Tahmini_Nem,Tahmini Derece (°C)
284,2024-06-12,18.465192280709743,29.4447403550148
285,2024-06-13,18.81066394597292,29.727739930152893
286,2024-06-14,19.155004911124706,29.998397171497345
287,2024-06-15,19.484011866152287,30.25371891260147
288,2024-06-16,19.784712329506874,30.4906165599823
289,2024-06-17,20.04586499929428,30.705904960632324
290,2024-06-18,20.258251532912254,30.896306335926056
291,2024-06-19,20.41473712772131,31.05844235420227
292,2024-06-20,20.510135240852833,31.188842177391052
293,2024-06-21,20.540846697986126,31.283938348293304
294,2024-06-22,20.5042807161808,31.34006702899933
295,2024-06-23,20.398068502545357,31.35346746444702
296,2024-06-24,20.219058752059937,31.320287346839905
297,2024-06-25,19.962097205221653,31.23657351732254
298,2024-06-26,19.618589960038662,31.09827870130539
299,2024-06-27,19.174856550991535,30.901262283325195
300,2024-06-28,18.610261015594006,30.641283690929413
301,2024-06-29,17.8951333463192,30.31400966644287
302,2024-06-30,16.988474503159523,29.915009319782257
303,2024-07-01,19.592158533632755,30.137896180152893
304,2024-07-02,19.752548836171627,30.33062195777893
305,2024-07-03,19.80899852514267,30.534406423568726
306,2024-07-04,19.820424184203148,30.74757820367813
307,2024-07-05,19.82851842045784,30.968370974063873
308,2024-07-06,19.8605390265584,31.19492483139038
309,2024-07-07,19.931893341243267,31.425280213356018
310,2024-07-08,20.048498906195164,31.657385408878326
311,2024-07-09,20.20893521606922,31.88909089565277
312,2024-07-10,20.406376361846924,32.1181503534317
313,2024-07-11,20.630311653017998,32.34222549200058
314,2024-07-12,20.868045531213284,32.558876156806946
315,2024-07-13,21.105992205440998,32.765573263168335
316,2024-07-14,21.330742053687572,32.959686636924744
317,2024-07-15,21.529926992952824,33.13849127292633
318,2024-07-16,21.692858949303627,33.29916989803314
319,2024-07-17,21.810958921909332,33.43880307674408
320,2024-07-18,21.877972945570946,33.55438131093979
321,2024-07-19,21.889966391026974,33.64279645681381
322,2024-07-20,21.845106191933155,33.70084500312805
323,2024-07-21,21.74323283880949,33.72522795200348
324,2024-07-22,21.585209041833878,33.712549805641174
325,2024-07-23,21.372058108448982,33.65931934118271
326,2024-07-24,21.10388672351837,33.5619512796402
327,2024-07-25,20.77859155088663,33.41676086187363
328,2024-07-26,20.390351377427578,33.21997046470642
329,2024-07-27,19.92790175229311,32.9677072763443
330,2024-07-28,19.37260191887617,32.65599966049194
331,2024-07-29,18.696276754140854,32.280780255794525
332,2024-07-30,17.858848705887794,31.83789050579071
333,2024-07-31,16.805754363536835,31.3230699300766
334,2024-08-01,20.070344425737858,31.944290101528168
335,2024-08-02,20.20167162269354,32.05707103013992
336,2024-08-03,20.230189502239227,32.17856675386429
337,2024-08-04,20.20948015153408,32.307373106479645
338,2024-08-05,20.176992803812027,32.441995203495026
339,2024-08-06,20.156762190163136,32.58083885908127
340,2024-08-07,20.16191577166319,32.722213327884674
341,2024-08-08,20.196965374052525,32.86433672904968
342,2024-08-09,20.259882882237434,33.00532650947571
343,2024-08-10,20.34396493434906,33.14320516586304
344,2024-08-11,20.4394723623991,33.27590250968933
345,2024-08-12,20.5350648984313,33.401247918605804
346,2024-08-13,20.61901844292879,33.516979694366455
347,2024-08-14,20.680220894515514,33.62073618173599
348,2024-08-15,20.708961464464664,33.71006178855896
349,2024-08-16,20.697501555085182,33.78240579366684
350,2024-08-17,20.640423953533173,33.83511859178543
351,2024-08-18,20.534780487418175,33.86545926332474
352,2024-08-19,20.380011342465878,33.870588064193726
353,2024-08-20,20.177657671272755,33.84756851196289
354,2024-08-21,19.9308547899127,33.79337120056152
355,2024-08-22,19.643613129854202,33.70486921072006
356,2024-08-23,19.319879725575447,33.57883924245834
357,2024-08-24,18.96239173412323,33.411964416503906
358,2024-08-25,18.571307577192783,33.20082849264145
359,2024-08-26,18.142625652253628,32.941922307014465
360,2024-08-27,17.666388876736164,32.631642043590546
361,2024-08-28,17.12467496842146,32.26628249883652
362,2024-08-29,16.489367097616196,31.842047691345215
363,2024-08-30,15.719715729355812,31.35504561662674
364,2024-08-31,14.759675800800323,30.80128389596939
365,2024-09-01,18.35938785225153,31.476645946502686
366,2024-09-02,18.542408607900143,31.50327855348587
