,Date,Hour,Dew_Point,TD1,TD2,TD3,TD4,TD5
174,2023/1/15,12:20,5,12,1021,"22,2","10,00",Çok bulutlu (1.219 m)
175,2023/1/15,14:20,5,12,1019,"20,4","10,00",Çok bulutlu (762 m)
176,2023/1/15,16:20,5,11,1019,"20,4","10,00",Çok bulutlu (3.353 m)
177,2023/1/15,18:20,5,10,1019,"22,2","10,00",Az Bulutlu (1.128 m)
178,2023/1/15,20:20,6,9,1019,"16,7","10,00",Çok bulutlu (1.067 m)
179,2023/1/15,22:20,6,8,1019,"14,8","10,00",Az Bulutlu (427 m)
180,2023/1/16,00:20,5,7,1019,"9,26","10,00",Az Bulutlu (457 m)
181,2023/1/16,02:20,5,7,1018,"11,1","10,00",Az Bulutlu (518 m)
182,2023/1/16,04:20,4,6,1017,"9,26","10,00",Parçalı Bulutlu (518 m)
183,2023/1/16,06:20,5,7,1017,"3,70 km/sa","7,00",Çok bulutlu (427 m)
184,2023/1/16,08:20,6,8,1017,"3,70","6,00",Kapalı (427 m)
185,2023/1/16,10:20,6,9,1016,"13,0 km/sa, D","7,00",Parçalı Bulutlu (427 m)
186,2023/1/16,12:20,7,11,1016,"9,26 km/sa, GB","10,00",Az Bulutlu (549 m)
187,2023/1/16,14:20,7,11,1014,"13,0 km/sa, G","10,00",Parçalı Bulutlu (457 m)
188,2023/1/16,16:20,6,11,1014,"9,26 km/sa, GB","10,00",Az Bulutlu (610 m)
189,2023/1/16,18:20,6,9,1013,"1,85 km/sa","10,00",Bulut Tavanı ve Görüş Temiz
190,2023/1/16,20:20,6,9,1013,"5,56 km/sa, GD","10,00",Bulut Tavanı ve Görüş Temiz
191,2023/1/16,22:20,8,10,1013,"9,26 km/sa, GD","8,00",Önemli Bulut Yok
192,2023/1/17,00:20,8,11,1012,"18,5 km/sa, G","8,00",Önemli Bulut Yok
193,2023/1/17,02:20,7,12,1012,"27,8 km/sa, G","10,00",Çok bulutlu (6.401 m)
194,2023/1/17,04:20,8,11,1012,"18,5 km/sa, GB","10,00",Bulut Tavanı ve Görüş Temiz
195,2023/1/17,06:20,6,12,1011,"14,8 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
196,2023/1/17,08:20,6,12,1011,"24,1 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
197,2023/1/17,10:20,7,13,1012,"22,2 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
198,2023/1/17,12:20,7,14,1011,"24,1 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
199,2023/1/17,14:20,9,14,1010,"20,4 km/sa, G","10,00",Çok bulutlu (2.134 m)
200,2023/1/17,16:20,9,14,1011,"22,2 km/sa, GB","10,00",Çok bulutlu (2.134 m)
201,2023/1/17,18:20,9,14,1011,"22,2 km/sa, GB","10,00",Çok bulutlu (2.134 m)
202,2023/1/17,20:20,9,14,1011,"11,1 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
203,2023/1/17,22:20,8,14,1011,"25,9 km/sa, G","10,00",Çok bulutlu (3.048 m)
204,2023/1/18,00:20,8,14,1011,"27,8 km/sa, G","10,00",Çok bulutlu (3.048 m)
205,2023/1/18,02:20,9,14,1011,"22,2 km/sa, GB","10,00",Çok bulutlu (3.048 m)
206,2023/1/18,04:20,9,14,1011,"31,5 km/sa, GB","10,00",Bulut Tavanı ve Görüş Temiz
207,2023/1/18,06:20,9,14,1011,"22,2 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
208,2023/1/18,08:20,9,14,1011,"22,2 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
209,2023/1/18,10:20,7,15,1012,"29,6 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
210,2023/1/18,12:20,8,17,1013,"20,4 km/sa, GB","10,00",Bulut Tavanı ve Görüş Temiz
211,2023/1/18,14:20,8,17,1012,"27,8 km/sa, GB","10,00",Bulut Tavanı ve Görüş Temiz
212,2023/1/18,16:20,8,16,1012,"38,9 km/sa, GB","10,00",Bulut Tavanı ve Görüş Temiz
213,2023/1/18,18:20,8,16,1013,"31,5 km/sa, GB","10,00",Bulut Tavanı ve Görüş Temiz
214,2023/1/18,20:20,8,16,1014,"27,8 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
215,2023/1/18,22:20,8,14,1015,"9,26 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
216,2023/1/19,00:20,7,15,1015,"24,1 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
217,2023/1/19,02:20,7,15,1015,"33,3 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
218,2023/1/19,04:20,7,15,1015,"25,9 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
219,2023/1/19,06:20,7,14,1015,"31,5 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
220,2023/1/19,08:20,7,14,1017,"13,0 km/sa, GB","10,00",Bulut Tavanı ve Görüş Temiz
221,2023/1/19,10:20,7,16,1017,"22,2 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
222,2023/1/19,12:20,6,17,1017,"24,1 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
223,2023/1/19,14:20,7,17,1016,"25,9 km/sa, GB","10,00",Bulut Tavanı ve Görüş Temiz
224,2023/1/19,16:20,6,18,1016,"24,1 km/sa, GB","10,00",Bulut Tavanı ve Görüş Temiz
225,2023/1/19,18:20,7,16,1016,"16,7 km/sa, GB","10,00",Bulut Tavanı ve Görüş Temiz
226,2023/1/19,20:20,7,16,1016,"9,26 km/sa","10,00",Bulut Tavanı ve Görüş Temiz
227,2023/1/19,22:20,6,15,1015,"9,26 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
228,2023/1/20,00:20,7,14,1015,"9,26 km/sa, GB","10,00",Bulut Tavanı ve Görüş Temiz
229,2023/1/20,02:20,6,14,1014,"13,0 km/sa, GB","10,00",Bulut Tavanı ve Görüş Temiz
230,2023/1/20,04:20,6,11,1013,"11,1 km/sa, GD","10,00",Bulut Tavanı ve Görüş Temiz
231,2023/1/20,06:20,5,10,1012,"1,85 km/sa","10,00",Bulut Tavanı ve Görüş Temiz
